('CSI', 'CSI', 'Casino', '', 'AU')
('CTL', 'CTL', 'Charleville', '', 'AU')
('CTN', 'CTN', 'Cooktown', '', 'AU')
('CTR', 'CTR', 'Cattle Creek', '', 'AU')
('CUD', 'CUD', 'Caloundra', '', 'AU')
('CUG', 'CUG', 'Cudal', '', 'AU')
('CUQ', 'CUQ', 'Coen', '', 'AU')
('CUY', 'CUY', 'Cue/Day Dawn', '', 'AU')
('CVC', 'CVC', 'Cleve', '', 'AU')
('CVQ', 'CVQ', 'Carnarvon', '', 'AU')
('CWR', 'CWR', 'Cowarie', '', 'AU')
('CWT', 'CWT', 'Cowra', '', 'AU')
('CWW', 'CWW', 'Corowa', '', 'AU')
('CXQ', 'CXQ', 'Christmas Creek', '', 'AU')
('CXT', 'CXT', 'Charters Towers', '', 'AU')
('CYG', 'CYG', 'Corryong', '', 'AU')
('CZY', 'CZY', 'Cluny', '', 'AU')
('DAJ', 'DAJ', 'Dauan Island', '', 'AU')
('DBO', 'DBO', 'Dubbo', '', 'AU')
('DBY', 'DBY', 'Dalby', '', 'AU')
('DCN', 'DRB', 'Derby', 'Curtin', 'AU')
('DDI', 'DDI', 'Daydream Island', '', 'AU')
('DDN', 'DDN', 'Delta Downs', '', 'AU')
('DFP', 'DFP', 'Drumduff', '', 'AU')
('DGD', 'DGD', 'Dalgaranga', '', 'AU')
('DGE', 'DGE', 'Mudgee', '', 'AU')
('DHD', 'DHD', 'Durham Downs', '', 'AU')
('DKI', 'DKI', 'Dunk Island', '', 'AU')
('DKV', 'DKV', 'Docker River', '', 'AU')
('DLK', 'DLK', 'Dulkaninna', '', 'AU')
('DLV', 'DLV', 'Delissaville', '', 'AU')
('DMD', 'DMD', 'Doomadgee', '', 'AU')
('DNB', 'DNB', 'Dunbar', '', 'AU')
('DNG', 'DNG', 'Doogan', '', 'AU')
('DNM', 'DNM', 'Denham', '', 'AU')
('DNQ', 'DNQ', 'Deniliquin', '', 'AU')
('DOX', 'DOX', 'Dongara', '', 'AU')
('DPO', 'DPO', 'Devonport', '', 'AU')
('DRB', 'DRB', 'Derby', '', 'AU')
('DRD', 'DRD', 'Dorunda Station', '', 'AU')
('DRN', 'DRN', 'Dirranbandi', '', 'AU')
('DRR', 'DRR', 'Durrie', '', 'AU')
('DRW', 'DRW', 'Darwin', '', 'AU')
('DRY', 'DRY', 'Drysdale River', '', 'AU')
('DVP', 'DVP', 'Davenport Downs', '', 'AU')
('DVR', 'DVR', 'Daly River', '', 'AU')
('DXD', 'DXD', 'Dixie', '', 'AU')
('DYA', 'DYA', 'Dysart', '', 'AU')
('DYM', 'DYM', 'Diamantina Lakes', '', 'AU')
('DYW', 'DYW', 'Daly Waters', '', 'AU')
('ECH', 'ECH', 'Echuca', '', 'AU')
('EDD', 'EDD', 'Erldunda', '', 'AU')
('EDR', 'EDR', 'Edward River', 'Pormpuraaw', 'AU')
('EIH', 'EIH', 'Einasleigh', '', 'AU')
('EKD', 'EKD', 'Elkedra', '', 'AU')
('ELC', 'ELC', 'Elcho Island', '', 'AU')
('EMD', 'EMD', 'Emerald', '', 'AU')
('ENB', 'ENB', 'Eneabba', '', 'AU')
('EPR', 'EPR', 'Esperance', '', 'AU')
('ERB', 'ERB', 'Ernabella', '', 'AU')
('ETD', 'ETD', 'Etadunna', '', 'AU')
('EUC', 'EUC', 'Eucla', '', 'AU')
('EVD', 'EVD', 'Eva Downs', '', 'AU')
('EVH', 'EVH', 'Evans Head', '', 'AU')
('EXM', 'EXM', 'Exmouth Gulf', '', 'AU')
('FIK', 'FIK', 'Finke', '', 'AU')
('FIZ', 'FIZ', 'Fitzroy Crossing', '', 'AU')
('FLC', 'FLC', 'Falls Creek', '', 'AU')
('FLS', 'FLS', 'Flinders Island', '', 'AU')
('FLY', 'FLY', 'Finley', '', 'AU')
('FOS', 'FOS', 'Forrest', '', 'AU')
('FOT', 'FOT', 'Forster', '', 'AU')
('FRB', 'FRB', 'Forbes', '', 'AU')
('FSL', 'FSL', 'Fossil Downs', '', 'AU')
('FVL', 'FVL', 'Flora Valley', '', 'AU')
('GAH', 'GAH', 'Gayndah', '', 'AU')
('GBL', 'GBL', 'Goulburn Island', '', 'AU')
('GBP', 'GBP', 'Gamboola', '', 'AU')
('GBV', 'GBV', 'Gibb River', '', 'AU')
('GDD', 'GDD', 'Gordon Downs', '', 'AU')
('GEE', 'GEE', 'George Town', '', 'AU')
('GET', 'GET', 'Geraldton', '', 'AU')
('GEX', 'GEX', 'Geelong', '', 'AU')
('GFE', 'GFE', 'Grenfell', '', 'AU')
('GFF', 'GFF', 'Griffith', '', 'AU')
('GFN', 'GFN', 'Grafton', '', 'AU')
('GGD', 'GGD', 'Gregory Downs', '', 'AU')
